Francais,Lingala
"À Ankara, j'ai dit clairement que l'Amérique n'est pas - et ne sera jamais - en guerre avec l'Islam. Nous affronterons, cependant, sans cesse les extrémistes violents qui posent une grave menace à notre sécurité.","Na mboka Ankara, nalobaki polele ete America ezali te mpe ekozalaka te na bitumba na Islam. Tokobundisa, bongo, ngonga nyonso baye balekisi ndelo na kanza mpe bazali kotiya kilikili na nkimya ya biso."
"Parce que nous rejetons la même chose que les gens de toutes les confessions rejettent : L'assassinat d'hommes, de femmes et d'enfants innocents. Et il est de mon premier devoir comme Président de protéger le peuple Étasunien.","Mpona ete toboyaka eloko moko mpela moko bato ya biyamba nyonso: Koboma bato, basi mpe bana baye bayebi eloko te. Ezali mosala nangayi ya yambo lokola tata mokambi ya ekolo oyo kobatela bana mboka ya Etats-Unis."
"Il y a plus de sept ans, les États-Unis poursuivaient al Qaeda et les Talibans avec un large soutien international. Nous n'y sommes pas allés par choix, nous y sommes allés par nécessité.","Eleki mobu sambo, Etats-Unis ezalaki kolanda al Qaeda mpe Talibans na simbisi monene ya bikolo misusu. Tokendaki nabolingi te, tokendaki mpo ezalaki ya motuya."
Merde !,Buzoba !
"Sur base de l'aveu et des documents y annexés, le tribunal de commerce vérifie si les conditions de la faillite sont effectivement réunies et déclare la faillite ouverte par jugement.","Likolo ya bo ndima mpe na mikanda oyo eyaki na ngo, esambiselo ya monbongo ako tala soki lisengi ya bokwei ezali ya solo, sima ako sangela bokwei oyo efunguami na bosambi."
Elle portait une ceinture rose aussi chère que moche.,Azalaki kolata mokaba ya rose ya talo kasi mabe.
La société a demandé à la banque de lui prêter de l'argent pour acheter de nouvelles machines.,Kompanyi esengaki na banki ekopa bango mbongo mpo ba somba ba masini ya sika.
Veuillez ne pas répondre à ce courriel frauduleux et ne cliquez en aucun cas sur les liens contenus dans le courriel.,Kozongisa eyano te na makanda oyo ya lokuta kowuta na internet mpe komeka kokota soko moke te na banzela ezali na kati na yango.
À aucun moment nous n'avons rendu votre adresse électronique disponible à un autre utilisateur sans votre permission.,Ata tango moko te tosalaki adresi nayo eletronike polele na mosaleli mosusu na bosenga nzela nayo te.
Aucun d'entre nous ne put arriver au pont à temps.,Moko te okati ya biso akomaki na gbagba na ngonga.
Le professeur de sport aligna les élèves en rang d'oignons le long du stade avant de faire l'appel.,Moyekolisi ya sport atiyaki bayekoli na mikoloto ya matungulu liboso ya kobanda kobenge.
Le passage de l'école élémentaire au cours moyen est considéré par certains comme le premier pas vers l'âge adulte.,Milekeli ya kilasi ya bana emonanaka na bato mosusu neti litamboli ya moko ti na age ya ebonge.
Ces problèmes seront résolus dans un proche avenir.,Makambo oyo ekozwa biyano na mikolo mizali koya.
"Si tu es mécontent de ta vie privée, je te conseille de t'inscrire sur Facebook. C'est le meilleur moyen de t'en débarrasser.","Soki osepeli na bomoyi na yo moko te, napesi yo toli ya komikomisa na Facebook. Ezali nzela ya malamu ya kotika yango."
Ne te serais-tu pas retrouvé en train de chercher des choses sur lesquelles il y avait écrit 20% en plus ?,Okozwama te ete ozali koluka boko makambo natina nayango basi bakoma 20% ?
Retournez vous asseoir.,Zonga na esika na yo ya kovanda.
Je pense que sa proposition mérite réflexion.,Na banzi ete oyo ye alobi elongobani ete tokanisa na tina nayango.
N'aie pas peur de poser des questions.,Kobanga kotuna mituna te.
Quand est passé l'épisode ?,Epizodi yango eleki mokolo nini ?
J'attendais à peine depuis une minute quand il arriva.,Nazalaki kozela mpene ya munite moko ntango ye akomaki.
Désolé de pinailler mais le point à l'intérieur des guillemets est à éliminer.,Bolimbisi na kotondolo kasi elembo na kati ya giyeme ezali ya kolongola.
Son rétablissement n'était ni plus ni moins qu'un miracle.,Kobika naye ezalaki eloko musus te kasi likamwisi.
Quelles sont les cinq premières lettres de votre adresse mail ?,Pesa nga kalaka mitano ya liboso ya ngambo nayo?
"La couleur turquoise évoque la couleur de l'eau claire, c'est un bleu clair et pâle.","Langi ya bule ya mapata elakisaka langi ya mayi ya peto, ezali bule ya bopeto pe pete."
Je suis désolé d'annuler le rendez-vous à la dernière minute.,Bolimbisi po na kosukisa bokutani na ngonga ya suka.
"Le suicide, c'est une vengeance personnelle, et moi, personnellement, je ne m'en veux pas.","Komiboma ezali komizongisela mabe, ngayi mpeza, nalingi yango te."
Mark Zuckerberg m'a volé mon idée !,Mark Zubeckerberg ayibi makanisi ma ngayi!
"Si tu demandais à ton banquier où il plaçait son argent, tu devrais aussi demander à ton dentiste d'ouvrir sa bouche pour que tu puisses regarder ses dents.",Soki otuni moto ya banki esika abombaka mbongo naye esengeli pe kotuna monganga ya mino afungola monoko otala mino naye.
Mike a un ami qui vit à Chicago.,Mike azali na moninga moko oyo azalaka na Chicago.
Mike a une amie qui vit à Chicago.,Mike azali na moninga ya mwasi avandaka na mboka Chicago.
Coupez la viande en tranches minces.,Kata misunyi eteni mike mike.
J'ai beaucoup de choses à faire aujourd'hui.,Nazali na makambo mingi ya kosala lelo.
Le cancer peut être facilement guéri s'il est détecté dans sa phase initiale.,Bokono ya cancer ekoki kobikisama na pete soki emonani na tango ezali na embandeli.
"« Ne vous inquiétez pas », dit Dima pour essayer de mettre la femme à l'aise. « Ce n'est pas le mien. »","« Bomitungisama te », elobi Dima pona na kotia muasi na kimia. « Ezali ya ngai te. »"
"Un œuf de poule se compose de coquille, de blanc et de jaune.","Liki ya soso esalemi na nkuba, mpêmbè mpe mosuku."
Je lui ai rappelé son entrevue avec le président.,Nayebisaki ye lisusu bokutnaki naye na mokonzi.
"Et je ne me tiendrais pas ici ce soir sans le soutien inflexible de ma meilleure amie depuis les derniers 16 ans, la pierre angulaire de notre famille, l'amour de ma vie, la Première Dame de la nation, Michelle Obama.","Pe na lingaki na telema awa te na pokwa ya lelo soki ezalaki ngonzi te ya moninga na nga oyo toyebani ko leka mbula 16, esukeli ya libota na nga, Mwasi ya liboso ya mboka, Michelle Obama."
"Tu es bizarre, je ne t'ai pas du tout encore aidée et tu m'appelles génie.","Ozali na lolenge ya kokamwisa, nayino na sungi yo te kasi ozali kobenga ngayi moto ya bwana mingi."
Mon oreille gauche coule.,Litoi nangai ya gauche ezobela.
Un des meilleurs chanteurs de Heavy Metal vient de s'éteindre en la personne de Ronnie James Dio.,Moko ya bayembi minene ya Heavy Metal awuti kotika mokili na nkombo ya Ronnie James Dio.
Grace n'est pas encore venue.,Grace azongi naino te.
"Je pensais que ma copine était normale, mais il s'avère qu'elle était un succube !","Nakanisaki ete moyebani ya ngai ya mwasi azalaki malamu, kasi esalemi ete azalaki ndoki, mwasi ya butu."
Vous devriez accomplir votre devoir.,Obengami kokokisa mosala na yo.
La chanteuse a enflammé la salle en faisant une reprise très sensuelle de « I really got you now » des Kinks.,"Moyembi ya mwasi aningisaki eteni ya ndako ntango azongelaki na monzele nyonso loyembo ""I really got you now"" ya ba Kinks."
Sa reprise de « All along the watchtower » en hommage à Jimi Hendrix a laissé les fans sur leur faim.,Esaleli na ye ya « All along the watchtower » na lokumu ya Jimi Hendrix etikaki balandi likolo ya nzala na bango.
"À l'aide, à l'aide, appelez un docteur je vous en supplie !","Lisungi, lisungi, bobenga monganga nabondeli bino !"
"On vit plus longtemps, et c'est tant mieux, mais c'est pas pour bosser plus !","Tozo bwele makasi, eza malamu, mte azali ko bosser mingi te!"
"Découvrant que sa femme l'avait souvent trompé, de rage il veut la tuer, mais pas moyen de soulever le cercueil où il était depuis deux ans.","Kokundola ete mwasi naye azalaki mbala na mbala kokosa ye, na kanda alingi koboma ye, kasi azali na lolenge te ya kotombola sanduku esika wapi azalaki eleki bongo mibu mibale."
"Déroule encore tous les fils d'or et prends le vent, espère au soir sauver ton souffle et pars devant ! - Un seul sommeil, si long silence.","Fungola lisusu ba singa ya wolo nyonso pe kamata mopepe, likya ete na pokwa okobatela pema na yo pe kende loboso! Kaka pongi moko, kimya molayi."
Certains croient dur comme fer qu'un ange gardien les protège.,Ba ike ba ndimeli makasi lokola libende ete anjelu mokengeli moko azo batela bango.
Je cherchais Andy. Savez-vous où il est ?,Nazalaki koluka Andy. Oyebi esika azali ?
Y a-t-il un musée dans cette ville ?,Mize moko ezali na engumba oyo?
Combien font neuf moins six ?,Libwá kolongola motóba epesi boni?
La santé est un facteur essentiel du bonheur.,Bokolongonu bwa nzoto ezali eleko ya motuya pona esengo.
"Alain décrivait sa femme comme une fille impétueuse, qui parlait vite, savait mentir et n’avait aucun sens de la pudeur.","Alain azalaki ko komola muasi naye neti muana muasi ya matata, oyo alobaka mbangu, ayebaki ko kosa mpe azalaki ata na soni te."
"Le studio est très petit, sans lieu où se cacher.","Ndako oyo ezali moke makasi, epai ya kobatama ezali te."
"Il a décidé peu de temps après son retour en France d’abandonner sa carrière comme économiste pour se dédier à sa vraie passion, l’écriture, en Espagne.","Azwaki mokano sima ya bozongi na France, kotika mosala mwaye bo moto atali makambo ya mbongo po yakolanda bolingo naye ya solo ya kokoma makambo ya Espagnole."
Je suis navré pour ta sœur.,Nazali mpasi na tina ya ndeko na yo ya mwasi.
Veuillez laisser un message après le signal sonore ou bien nous jeter des bonbons dans la boîte aux lettres.,Nasengi nayo na bokebi otika maloba sima ya elembo ya kolela to pe tikela biso ba bombo na engbongolo ya mikanda.
En es-tu sûr ?,Ozali na elikya na yango ?
Je reviens tout de suite.,Nazoya kaka sikoyo.
Tous les soirs j’écoute la radio.,Butu nionso nayokaka lolaka.
"En 1860, Lincoln fut élu Président des États-Unis d'Amérique.","Na 1860, Lincoln aponamaki mokonzi ya mboka America."
"Au nouvel an, nous passons un long moment en famille.","Na mbula ya sika, tolekisaka tango mingi na libota."
Vous devez coordonner vos plans avec les miens.,Esengeli kobongisa mwango na yo na oyo ya ngai.
J'adore Ken le survivant !,Na lingaka mingi Ken oyo abiki na liwa.
Stephen Colbert est un type plutôt délirant.,Stephen Colbert azali penza moto ya liboma.
"Cependant, il y a des jeunes qui dorment à côté de leur téléphone mobile et l'une des premières choses qu'ils font chaque matin est de regarder leurs messages et les appels « perdus » reçus durant la nuit.","Nzokande, ezali na bilenge balalaka pene pene na aloalo na bango pe eloko ya liboso basalaka tongo nyonso ezali kotala ba sango et bobengi « bobungi» bazwaki na butu."
Il a lu dans mes paroles un message que je n'avais pas prévu.,Atangi na maloba na ngai nsango moko oyo ngai nakanaki te.
"À certains moments, j'ai envie de plaquer ce boulot.","Na batango misusu, nazali na posa yakotika mosala oyo."
Cette idée que nous étions en train de discuter hier en classe a piqué mon intérêt.,Likanisi oyo tozalaki kosolola lobi na kelasi ebendaki bokebi na ngai.
"OK, ça maintenant ! La combinaison de ceci et ça pourrait être vachement sexy !","OK, oyo sikoyo ! Ko tiyama elongo ya biloko oyo mpe ekoki ko zala kitoko makasi !"
"Après dix ans comme partenaires en affaires, ils ont décidé de se séparer.","Sima ya kosala mbula zomi lokola baninga ya mosala, bazwaki mokano ya kokabwana."
Nous faisons un bœuf au club demain soir.,Tokosala ngombe lobi na pokwa na nganda.
Les ardeurs du marié se refroidissaient quelques minutes avant le mariage.,Ba esengo ya mobali oyo azalaki ko bala ezalaki ko sila ngonga mukie yambo ya libala.
Il est resté coincé au boulot.,Akangami na mosala.
"Selon ce magazine, mon actrice favorite épousera un musicien de jazz au printemps prochain.","Lolenge magazine oyo elobi, mutu na ngai nalingaka mingi akobala mobeti muziki na printemps oyo ezali koya."
L'enfant fut fait pupille de la nation.,Mwana etike akomaki ya motuya na ekolo.
"Je suis désolé, je dois prendre congé des invités, maintenant.","Na sengi bloimbisi, nasengeli ko tika ba byangami, sikoyo."
"Veuillez inscrire la taille, la couleur et le style sur le bon de commande.","Komisa mulayi, langi mpe lolenge na mokanda ya commande."
Je n'utiliserais pas une machine à laver dont l'interrupteur est défectueux.,Na ko salela machine ya ko sokola te oyo button na yango ezali ya kobeba.
Les animaux agissent selon leurs instincts.,Banyama basalaka makambu na lolenge ya bonyama na bango.
J'ai toujours pensé qu'un infarctus était la manière dont la nature t'indique qu'il est temps de mourir.,Nakanisaki ete kosala crise ya motema ezali lolenge mpo na mokili ya koyebisa yo ete ngonga ya kokufa ekoki.
"Ce mec est complètement à la masse, quel dingue !","Mobali oyo azali mpenza monene, oyo zoba !"
"Que feriez-vous si vous aviez, disons, dix mille dollars ?",Okosala nini soki ozali toloba na 10 millions de dollars?
Les activités de notre club sont constamment gâchées par son comportement.,batu ya lingomba na biso basepelaka na ezaleli naye te.
"Je suis vraiment désolé, mais je suis obligé d’annuler notre réunion du 27 février.","Nazali mpenza na mawa, kasi nasengeli koboma likita ya biso ya 27 ya sanza ya mibale."
"Avec mes respectueux hommages, je vous prie de bien vouloir agréer, Madame la Ministre, l'expression de ma très haute considération.","Na botosi ya ngai ya lokumu, nasengi na yo koyamba, mama ministele, elobeli ya ngai ya lokumu koleka."
Quelqu'un a tuyauté les membres de la bande sur leur surveillance par la police.,Moto moko akimisi baietonga na bokengeli na bango na pulusu.
L'absence de preuve du contraire est elle-même la preuve que votre théorie est probablement vraie.,bozangi ya biloko oyo ezali ko lakisa lolenge mususu nde ezali eloko oyo elakisi ke likanisi na bino ezali ya solo.
Mon opinion correspond à peu près à la tienne.,Makanisi na ngai ekokani mwa moke na makanisi na yo.
La remarque que tu as faite à la fête à propos du poids de Lisa était totalement déplacée.,Liloba oyo olobaki na nteke na maye matali monene ya Lisa ezalaki mpenza malamu te.
Elle sortit la bouteille de champagne qu'elle avait gardée pour un événement particulier.,Abimisi molangi ya champagne oyo abombaka mpo na likambo moko songolo.
"Ils ont cherché partout, mais en vain, le garçon disparu.","Balukaki bisika nyoso, kasi na bozangi, mwana-mobali alimwaki."
"Je pensais le tenir dans un coin, mais il fit alors un mouvement inattendu et renversa complètement la situation en ma défaveur.","Nalingaki na kangela ye na pembeni, kasi aninganaki na mbalakata mpe abalusaki likambu na lolenge na ngai te."
"Ferme-la. Sinon, tu seras viré.","Kanga yango. Soki te, okolongwa mosala."
"Je sais pas ce que j'ai, c'est peut-être le resto d'hier, j'ai passé la matinée à dégobiller.","nNayebi te eloko nazali na yango, ezali tango mosusu bilei ya lobi, nalekisi ntongo nyoso na kosanza."
"Fermez-la. Sinon, vous serez viré.","Bokanga-ye. Soki te, bokolokwa musala."
"Ferme-la. Sinon, tu seras virée.","Kanga yango. Soki te, tokobengana yo."
Nos plans ont échoué à la dernière minute.,Miango na biso mikweyi na ngonga ya suka.
Ma femme a abandonné tout espoir de me convaincre de tondre la pelouse aujourd'hui.,Mwasi na ngai alembi na komeka kobongola makanisi mpo ete nakata paspalume lelo.
Certains croient que la famille royale britannique descend directement de la lignée du roi David.,Misusu ba kanisaka ete libota ya mokonzi ya ekólo ya baangelé ba uti semba na etuluka ya nkumu-mobali Davidi.
"« Michael » est un nom masculin, mais « Michelle » est un nom féminin.","« Michael » ezali kombo ya mibali, kasi« Michelle » ezali kombo yabasi."
Un homme qui peut conduire prudemment en embrassant une jolie dame ne consacre tout simplement pas au baiser l'attention qu'il mérite.,Mobali oyo akoki kokumba na bokebi nyonso na ntango azali kopepwa mwasi ya bonzenga azali kopesa soki moke te lokumu oyo lipwepwe esengeli na yango.
"Il était carrément méchant, jamais content.","Azali penza moto ya nkanda, ata mokolo moko te azalaka na esengo."
De nombreuses personnes ne le comprennent jamais et terminent avec un emploi au gouvernement. Comment ils font ça restera toujours un mystère.,Bato mingi basosolaka yango ata mokolo moko te mpe basilaka na kozwa mosala okati ya misala mya mbulamatari. Ndenge nini basalaka yango etikalaka kaka libombeli.
J'ai rencontré un oto-rhino-laryngologiste à une fête dimanche.,"Nakutanaki na monganga moko oyo asalisaka ba bokono bwa matoyi, zolo mpe kingodingodi, bisika ya nteke moko na mokolo ya lomingo."
Le monde suit une règle d'or : Quiconque possède l'or écrit les règles.,Mokili ezali kolanda mibeko ya wolo: Oyo azali na wolo nde azali kopesa mibeko.
"La course n'était pas égale, car le gagnant avait une avance au départ de dix secondes.","Kokima ezalaki ndenge moko te, mpo molongi azalaki liboso na ebendeli ya segonde zomi."
"Le paysan, dans son labour, arrache peu à peu quelques secrets à la nature, et la vérité qu'il dégage est universelle.","Mosali elanga, na mosala na ye, azali kozua moke moke basekele ya mabele, mpe bosolo oyo abimisaka endimamaka mokili mobimba."
Nicholas et Maria s'aiment.,Nicholas na Maria balingani.
L'anthropologue américaine Margaret Mead a déjà dit qu'il ne faut jamais sous-estimer ce qu'un petit groupe de personnes dévouées peut accomplir.,Anthropologue ya america Margaret Mead asilaki koloba ete esengeli te kotala pamba oyo etonga moke ya bato baye bamipesi ekoki kosala.
Tu auras des problèmes si ta copine apprend la vérité.,Okozwa likambo soki likangu na yo ayoki bosolo.
"Si je perds ma clé, je ne pourrai plus fermer la porte.","Soki nazwi fungola na ngai, nakokoka lisusu te kokanga ekuke."
Wendy n'a pas toujours été intéressée par les festivals japonais.,Wendy amipesaka mikolo nyonso te na biyenga ya ba japonais.
"Il est roublard, il saura tirer les marrons du feu.","Azali mokosi, akoyeba kolongola bolamu na kati."
Je te remercie d'avance pour ton aide.,Na tondi yo botondi liboso pona lisungi na yo.
"Désolé mon amour, je suis encore coincé au bureau.","Bolimbisi bolingo nangayi, nakangami lisusu na mosala."
Fais quelque chose à propos du flot de sang qui s'échappe de la blessure.,Sala eloko moko mpo na makila oyo ezali kotanga na mpota.
"Avec le développement des réseaux, une quantité énorme et sans précédent de messages vole autour de la planète.","Na bobongisi ya rezo, bebo ya mikanda ezo pimbwa nzinganzinga na mokili."
Sammy Davis était un chanteur excellent.,Sammy Davis azalaki moyembi monene.
He Ho ! Il y a quelqu'un ?,He Ho! Mutu azali?
Hé ! Regarde ce qu'elle a apporté !,He ! Tala eloko nini amemi!
Hé ! N'entrez pas dans le jardin s'il vous plait !,Hé ! Kokota na bilanga te nabondeli yo !
Saute sur la créature pour la tuer.,Pimbwa lokolo ya ekelamu pona ko boma yango.
Tu dois remettre les rapports lundi.,Osengeli kozongisa ndimbola mokolo ya mosala moko.
Le lion est le roi de la jungle.,Ntambwe azali mokonzi ya zamba.
Pourquoi est-il si difficile d'établir que la cellule nerveuse constitue l'unité de base du tissu nerveux ?,Mpo nanini eza mpasi kosala ete misisa ya nzote ezala moko ya mutuya ya mposo ya nzoto?
Peux-tu arranger le coup pour qu'elle figure dans cette émission de télé ?,Okoki kosala ete aleka na émission ya teve oyo?
"Dans des temps difficiles comme ceux-là, aucun effort ordinaire ne peut sortir notre entreprise du rouge.","Na batango ya matata lokola wana, bokasi moko te ya nsomi ekoki ko longola kompanyi na biso na botane."
Mon père a offert ses services à une société de négoce bien connue.,Tata nangayi asalaki na société ya négoce oyo eyebani malamu.
"Pourriez-vous, s'il vous plait, me dire quel est votre numéro de téléphone mobile ?","Okoki, na bondeli penza, kopesa nga nimero nayo ya telefone mobile?"
Je suis désolé. Je retire ce que j'ai dit.,Nazali na mawa. Nalongoli oyo nalobaki.
Moi non plus.,Ngai mpe te.
Je me demande ce qu'il se passera si j'appuie sur ce bouton.,"Nazali komituna, eloko nini ekosalema soki nafini mbuma oyo."
"Nous avons tous grandi dans la croyance que chacun a droit a son opinion, cependant, certains croient désormais que toutes les opinions se valent.","Kokolaki biso nyonso na bondimi ete moto na moto azali na makoki ya kopesa makanisi ma ye, banosusu bakanisaka kobanda lelo ete makanisi nyonso ezali na motuya."
"Les deux opinions ont des mérites et des démérites, aussi ne vais-je pas décider tout de suite laquelle soutenir.","Makanisi oyo mibale mazali na ya malamu pe na ya mabe, yango nako kata likambo sika sika oyo te."
Vous pouvez faire ce qui vous chante.,Bokoki kosala oyo nyonso bolingi.
"Modeste et court d'imagination, Justin ne connaissait le mal que par ouï-dire.","Modeste azangi makanisi, Justin ayebi mabe se na bilobaloba."
"Le jour où on pourra se téléporter, je connais quelques salles de bains où il y aura foule.","Mukolo oyo tokoki ko bengana, nayebi bisika ya esekolelo esika batu bazalaka ebelé."
"Le premier qui répète cela à ma femme, je l'étrangle, compris ?","Moto ya liboso oyo akobandela koloba yango lisusu epayi ya mwasi na ngayi, nakoboma ye, boyoki?"
Tu commences sérieusement à me casser les couilles !,Obandi ya msolo mpenza kotungisa ngai !
"Vous autres, mathématiciens, n'êtes qu'une bande de pervers !","Bino basusu, baye bayekola mituya, bozali etonga ya bato babunga nzela!"
Vous devriez laisser le vin respirer quelques minutes avant de le boire.,Esengeli otika masanga epema ngonga moke liboso ya ko mela yango.
Un petit gain vaut mieux qu'une grosse perte.,Mwa mbano moke eleki kobungisa mingi na motuya.
Regardez ce qu'elle a apporté pour ma fête d'anniversaire !,Tala oyo amemeli ngai mpo na nteke ya mbotama na ngai !
Le juge prononça une peine de cinq ans de travaux forcés.,Zuzi akateli bango mbango ya mbula ntúkú mítáno ya misala na makasi.
Chaque étudiant masculin a le symbole de l'école sur sa casquette.,Muana kelassi nyonso ya mobali azali na elembo ya Kelassi na ekoti na ye.
"Il existe des milliers de langues dans le monde entier, mais l'espéranto est le seul pont vers tous ceux qui les parlent.","Ezali na bakota nkoto na nkoto o mokili mobimba, kasi kota ya esperanto ezali yoko gbagba komema epayi ya baye banso bakoloba yango."
Le beau papillon rend visite à la rose jaune et boit la rosée de ses pétales.,Mpomboli kitoko ekeyi ko tala fololo rosa ya mosuke mpe ameli lomande ya matiti na ye.
"Mon épouse a donné naissance à un enfant lorsque nous étions très pauvres. Pendant qu'elle dormait, je cuisinai du riz et des légumes pendant plusieurs jours et je la surpris par la variété et le goût de ma cuisine.","Muasi na ngai abotaki muana moko ntangu tozali na bobola ya makasi. Ntangu azalai kolala, nazalaki kolamba loso na ndunda sima mikolo ebele na kamwisaki ye na kitoko ya makusa na ngai."
"Tu la feras pleurer, quoi que tu dises.","Okolelisa ye kaka, nyonso okoloba ezali mpamba."
Qui est le garçon qui joue le rôle de Peter Pan ?,Mwana mobali oyo azali kosala lotomo ya Peter Pan nde nani ?
"La ceinture de sécurité ne sert à rien, ça n'a jamais sauvé la vie d'aucun Chinois sur la route ! Bon, après il est vrai qu'ils ne la mettent pas ...","Nkámba ya ekenge eza tina te, etikali ko bikisa ata Chinois moko te na nzela! Malamu, kasi, oyo ya solo ezali ete bango balataka ango te."
"L'optimisation globale, de quoi s'agit-il ? C'est un peu comme si je te donnais une paire de jumelles et te demandais de me trouver la montagne la plus haute du monde, en n'utilisant que tes yeux.","Bokolisi monene, eza nini? Eza lokola na pesaki yo ba talatala mpe na sengaki yo oluka ngomba ya molayi koleka bangomba nyoso ya mokili, na kosalela miso kaka."
Frank étudiait principalement la sociologie à l'université.,Frank atangaki mingi mpenza sosiolozi na université.
J'ai compris que la rumeur était fondée.,Nasosoli ete nungunungu ezalaki ya solo.
Les Allemands n'ont pas le sens de l'humour ? Ça ne m'amuse pas du tout !,ba Allemands bayebi ndenge ya ko sala maseki te ? Ezo sepelisa ngai lisusu ata moke te !
J'ai peut-être heurté ses sentiments.,Ntango mosusu nazokisi makanisi na ye.
Garde la taule pendant que je suis parti.,Bomba lobwaku tango na bimi.
Nous chantâmes des chants en chœur.,Tozalaki koyemba ba nzembo na lolenge ya lisanga.
Vous ne devez pas couper les cheveux tout de suite.,Esengeli te kokata suki sikasika oyo.
"J'ai vu un homme bizarre avec des lunettes noires, tourner autour des toilettes pour dames.","Namonaki moto ya bokamwi alati maneti ya mwindo, azali kobaluka zongazonga ya zongo ya basi."
Un entrepôt plein de feux d'artifice a explosé et a détruit un pâté de maison entier.,Magazin moko etondisamaki na mikali-kali ebetaki canon mpe ebebisi molongo mobimba ya ba ndako.
"Faites bien attention à mettre le bon objet avant de m'envoyer votre e-mail, autrement il finira dans le dossier ""pourriel"".","Sala penza keba ya kotia tina liboso ya kotindela ngai e-mail, noki te ekosuka na ebombelo ya mikanda ""epola""."
Je roule mes propres cigarettes.,Nazali kobongisa bacigarettes na ngai.
Le regard vide des yeux de poupées m'a toujours effrayé.,Etaleli ya miso ya bana popi ebangisaka ngai.
J'ai trouvé un timbre rare dans ce magasin.,Nazwi timbre moko oyo emonanaka pamba pamba te na magasin oyo.
Je préfère l'anglais.,Naponi monoko ya angele.
"À mon premier cours de C, je n'arrivais pas à comprendre le moindre truc en classe. Dieu merci j'ai obtenu d'un ami programmeur qu'il m'explique comment tout le machin fonctionnait.","Na kalasi na nga ya yambo ya C, nazalaki ko koka ko yoka eloko moke te na kilasi. Matondi na Nzambe nazuaki lisungi ko huta moninga moko ya programmeur mpo alakisa ngai ndenge nini biloko nyoso wana etambolaka."
"Toute personne a des devoirs envers la communauté, étant donné qu'elle ne peut développer pleinement et librement sa personnalité qu'à travers elle.","Moto nyonso azali na maye asengeli kosala pona mabota, pamba te akoki kolakisa na lolenge nyonso mpe na kimia nyonso bomoto naye okati ya mabota."
Le voleur ou l'arnaqueur qui a amassé une grande fortune par ses méfaits a de meilleurs chances que le petit voleur d'échapper aux pénalités rigoureuses de la loi.,Moyibi to moto ya lokuta oyo asi a tondisa mbongo kouta mabe na ye aza basanse ko leka moyibi moke ya ko kima lifuti ya matata ya mibeko.
Je hais courir des risques.,Nayina kozala na keba-keba.
"Comment fais-tu pour regarder un documentaire sur la famine en Éthiopie en mangeant un big mac, tu n'as vraiment aucune morale.","Osalaka ndenge nini mpo na kotala documentaire kolobela nzala na mboka Éthiopie na ntango ozali kolia big mac, ozali mpenza na bomoto te."
Je mange avec mon frangin.,Na nazo lia na ndeko na ngai.
Une carte parfaite devrait être aussi grande que le territoire qu'elle représente.,Carte ya malamu esengeli ezala monene lolenge moko na mboka oyo ezali kolakisa.
Le président Ho Chi Minh a bourlingué durant trente années à travers le monde pour chercher la voie au salut national.,Mokonzi ya Ho Chi Minh atambolaki mibu ntuku misato na mokili mpo na koluka nzela ya kimia ya mboka.
À sept heures je serai de nouveau là.,Na konga ya sambo na tongo nakozala lisusu wana.
Je vais vous en montrer quelques-uns.,Nako lakisa bino moko kati na bango.
Le délire d'un homme est appelé une insanité. Le délire de milliers d'hommes est appelé une religion.,Bolema ya moto ebengami liboma. Bolema ya bato ebele ebengami eyamba.
Les parents voient la nouvelle génération comme une génération très éloignée de la réalité et occupée à poursuivre des rêves irréalisables.,Baboti bamonaka bana ya mikolo oyo lokola bazalaki mosika na mokili ya solo mpe balandaka ndoto oyo ekosalamaka te.
Leur baiser avait été découvert par Charlotte.,Mapwepwe na bango egundolamaki na Charlote.
Un sot trouve toujours un plus sot qui l'admire.,Zoba akutanaka kaka na zoba moko ya koleka ye oyo alulaka ye.
Ce joli bébé est le fruit de leur passion.,Bebe oyo ya kitoko azali mbuma ya bolingo na bango.
"Je ne sais pas avec quelles armes la troisième guerre mondiale sera menée, mais la quatrième se fera avec des bâtons et des pierres.","Nayebi te soki na minduki nini etumba ya misatu ya mokili mobimba eko salema, kasi ya mine ekosalema na fimbo pe na mabanga."
Le docteur prit mon pouls.,Monganga azui ngonga na nga.
Le son de ta voix est comme le chant d'une sirène.,Mongongo nayo ezali lokola loyembo ya mamiwata.
Nous avons appelé le restaurant pour qu'il vienne nous livrer à domicile.,To bengaki restorant mpo ete ba komisela biso biloko na ndako.
"Prenez-en un quatre fois par jour, après les repas.","Kamataka yango moko mbala minei na mokolo, nsima ya koliya"
"Je vais sortir chercher mon oncle, il a un peu bu, donc je vais prendre la voiture à sa place pour le ramener.","Nakokende koluka noko na ngai, ameli mwa ndambo ya masanga, bongo nakei kozwa motuka mpo nakumba ye."
Tu peux m'expliquer pourquoi tu as refusé leur offre ?,Okoki koyebisa ngayi mpona nini oboyi maye bapesi yo?
Peux-tu m'expliquer pourquoi tu as refusé son offre ?,Okoki koyebisa ngai mpo na nini oboyi likabo na ye ?
